,index,behavior_0,behavior_1,objective,solution_0,solution_1,solution_2,solution_3,solution_4,solution_5,solution_6,solution_7,solution_8,solution_9,solution_10,solution_11,solution_12,solution_13,solution_14,solution_15
2261,2052,0.6573390960693359,-2.833354949951172,-303.2467924215688,-6.579195595047353,-1.0872467495060116,17.03276649445338,0.6221638937235288,-8.13281255975626,-8.612608276457717,10.676746912804788,3.2481261111618296,-8.9246850436403,1.8241706940651716,-6.699884455141217,-0.7869980328932191,4.964512238421634,8.284375063660045,5.726804719838865,1.3620714867133559
2262,2005,0.6011394262313843,-2.6575582027435303,-259.965388831194,-5.293043607938281,-1.9556184449141214,16.956937216527823,2.2679942440437104,-7.79442659418724,-8.529028200674652,11.25639479990906,3.0730588819015825,-7.076521938059374,1.8744037986790978,-6.618467263660168,-1.424683270242621,4.6800015945855895,8.520508724871913,4.4742414678827735,2.311926411471008
2263,2053,0.6542072296142578,-2.7861368656158447,-213.80861410884512,-6.477791409632289,-1.1321443731221246,17.31215646330868,0.4341985946904793,-8.718235185329515,-8.820072748999193,11.464205782755055,3.542176097680222,-8.494477883465494,1.7368584660200768,-6.427337684770576,-0.624864043918375,5.302197006147517,7.727375755699236,5.69204850868148,1.8909504165493052
2264,115,-0.9155936241149902,-2.0888350009918213,-233.3997014603188,3.805122404968977,2.571132905634902,9.54679656977378,3.646989448946211,-2.1919085429074627,9.305428754175958,3.9839837239734845,-4.877000664886111,-7.948150777157036,-4.055015390678215,2.694900785390789,-1.0211857409328142,7.245597929001669,10.861806039511121,-1.6020142534077724,-1.3512203678544075
2265,1755,0.40208616852760315,-2.659668445587158,-246.34862939389492,-6.07080518564178,-0.6946043533243631,16.88557263948995,0.6937479977931009,-8.64474457100618,-8.653132946326163,11.136537735242957,3.342785260003937,-8.435612879155741,1.3828046190462295,-6.2957108848813945,-0.6312345007996183,4.499238501613073,8.253910107986021,6.589119361897306,1.6392164537787635
2266,2100,0.7185958623886108,-2.995499610900879,-319.5829351717924,-7.232121337953615,-1.129459974200485,17.444452235185196,0.8617689110256652,-9.016623926919472,-9.20093712018423,11.077980481808758,3.5985957772700954,-8.637534042264123,1.7000679038305289,-6.242993138823678,-0.49685957472600356,4.710388076348672,7.616605561524339,5.760645397919118,1.5085298128224847
2267,87,-0.9207442998886108,-0.7306342720985413,-109.36211722922046,3.691812916501652,-1.233560263842548,10.265692881396728,-17.248355238389948,1.7088403254675353,19.231903682796883,13.955558458840411,-0.6736926319059081,6.826821314259031,-14.013702128679324,-9.473012744379089,-1.9567886884319117,23.667025649120184,-2.7734416851992756,1.040924239016984,-3.2884615406120696
2268,2002,0.6114273071289062,-2.833996534347534,-298.0910790004005,-14.81622946539156,-2.8126454509844456,18.577960129071155,6.451822466426396,-0.07476725199971779,-10.256679909146882,7.972637190549429,1.9571956027185113,-1.9627177180425424,-1.1390047531726597,6.9732053288898195,-2.440109409235292,12.036174488992458,22.182328202848613,10.419550521654461,-2.0622064223949637
2269,1855,0.48103275895118713,-2.656693935394287,-259.6005925459208,-3.573983458670527,-1.1862117357789865,20.751896899209353,1.5576979401610964,-5.689920544014463,-7.851787532705755,5.754506753049305,1.110550395368013,-7.607661847912784,0.10609921802737532,0.4517678614114231,-0.3763713261118904,9.58384168427776,3.8830850816290527,4.254609663942828,0.643587841948758
2270,602,-0.4998709261417389,-2.8208041191101074,-256.79281109732506,3.466295196483566,0.37431891210660606,10.966413299001701,1.5524956144209099,-1.3604231073627893,10.853271905810006,6.1064175949904484,-5.92108376232254,-8.553202224351029,-0.8541756605876991,1.862075920908131,0.3418712909361497,5.014594984619286,10.200076582594932,-0.632480404342874,-1.4193238969157451
2271,1952,0.5850042104721069,-2.8686070442199707,-317.3891890817474,-6.955901092595444,-0.9841561673010617,17.430799243102683,0.7174396011077564,-8.90297791602841,-9.535696092044162,11.2012120989224,3.6825238572570607,-8.553296388985085,1.6101782743109214,-6.955314414391451,-0.5175568802341044,5.250208106510555,8.241870347959193,6.278151650513281,1.2857146981662415
2272,1660,0.33933067321777344,-2.385570526123047,-197.991756053372,-6.626968471488029,-0.733983408872318,17.260206425911008,0.7616683998457655,-8.296892368578485,-9.028909792785019,11.675155446600655,2.9424356145146975,-7.9387173689490504,1.3420616077202634,-6.2967645074501535,-0.9607953017677904,4.631257183509205,7.6736693734233805,6.489228147324166,1.8779399170329465
2273,1904,0.5215868949890137,-2.7444980144500732,-261.0834391515824,-5.144506221043079,-1.9022569193382164,16.97503039098643,2.9469455550944073,-6.500893412711385,-8.017039465413403,10.563140606948005,2.301119857990299,-7.379004297410149,1.470214318729504,-5.574264547521306,-1.1464713165142355,5.209162910451078,7.345769546221194,5.719008926798715,2.739723622022744
2274,1610,0.2822034955024719,-2.3471479415893555,-191.65540482248144,-5.505433699687401,-0.46762521106057714,19.143959646748854,0.8091548428595206,-4.62254031394116,-8.906086339742483,6.162086131012273,2.976298051002895,-6.948119845186399,0.30306599240234533,-2.1541746339165555,-0.8039111553386348,7.959547960778853,7.886968452798263,2.141125682667899,-0.28778940095060807
2275,502,-0.5688226222991943,-2.8789687156677246,-283.338230658617,3.0726242060095306,0.3515275731921013,11.158810671746549,1.7498418766358061,-1.5710224795044228,11.162285877162264,5.434122216122304,-5.088825108300741,-7.677868839465066,-0.8626947677492462,2.048677655005064,0.21842759376152687,4.964707594169448,10.050477363626056,-0.486900583554229,-2.0178879996702275
2276,1902,0.5563423037528992,-2.8425955772399902,-292.4922615991319,-6.550448276210362,-1.0104254533986028,17.532792519564026,1.0473930910655964,-8.495882089755796,-8.642415556394463,11.84417392285674,2.956733081976693,-8.821246962208926,1.6855803415300772,-6.249333670460328,-0.8683077434423048,4.820519944411081,8.478081961861522,5.936314361759573,1.703743585695401
2277,952,-0.20028062164783478,-2.8439135551452637,-237.89833047022637,3.384902288855388,-0.17455732278765088,11.770641781575604,1.456452511167975,-1.7176204456501134,11.139547325623063,5.801981284888403,-4.732915537694982,-8.833488472654212,-0.5167425226991808,1.3322948955921967,0.11955167312246226,5.018392659192254,9.883242550616362,-0.7416331857804147,-2.099203385482661
