9638.000,0.000
18465.000,0.000
26175.000,0.000
33885.000,0.000
41420.000,0.000
48666.000,0.000
55909.000,0.024
64356.000,0.039
73052.000,0.048
82125.000,0.055
91102.000,0.065
101485.000,0.074
110450.000,0.082
124034.000,0.090
135537.000,0.097
143755.000,0.110
151617.000,0.112
160371.000,0.116
171272.000,0.120
181227.000,0.124
192394.000,0.129
202522.000,0.135
213825.000,0.140
225243.000,0.145
236188.000,0.151
246958.000,0.149
258994.000,0.142
270926.000,0.136
286454.000,0.130
297094.000,0.128
313194.000,0.129
332454.000,0.131
361260.000,0.133
388879.000,0.135
431743.000,0.137
469545.000,0.140
508463.000,0.142
555363.000,0.144
592082.000,0.147
632369.000,0.146
671388.000,0.142
710131.000,0.138
749066.000,0.134
773547.000,0.131
814356.000,0.127
842497.000,0.124
871634.000,0.121
903057.000,0.118
943247.000,0.115
980907.000,0.113
1010015.000,0.110
