11.000,45.599
22.000,44.861
33.000,45.131
44.000,45.164
55.000,45.552
66.000,48.347
77.000,50.536
88.000,52.343
99.000,54.053
110.000,56.122
121.000,59.226
132.000,62.013
143.000,64.799
154.000,70.675
165.000,76.284
176.000,80.280
187.000,84.671
198.000,88.906
209.000,92.785
220.000,100.439
231.000,107.971
242.000,116.077
253.000,126.743
264.000,134.405
275.000,142.034
286.000,149.827
297.000,159.196
308.000,168.696
319.000,178.139
330.000,184.987
341.000,192.203
352.000,199.550
363.000,204.603
374.000,209.636
385.000,215.426
396.000,221.385
407.000,225.193
418.000,228.960
429.000,232.880
440.000,234.942
451.000,236.540
462.000,238.430
473.000,239.835
484.000,241.305
495.000,242.159
506.000,242.721
