2858.000,0.000
6005.000,0.000
8696.000,0.000
11709.000,0.000
14482.000,0.000
17195.000,0.000
20050.000,0.000
22684.000,0.000
25326.000,0.000
27955.000,0.000
30605.000,0.000
33354.000,0.000
36259.000,0.000
39461.000,0.000
42702.000,0.000
45978.000,0.033
48974.000,0.067
52520.000,0.100
55490.000,0.133
58575.000,0.167
61548.000,0.192
64467.000,0.217
67872.000,0.242
70634.000,0.267
73656.000,0.292
76846.000,0.298
79669.000,0.305
82490.000,0.312
85016.000,0.318
87617.000,0.325
91326.000,0.333
94645.000,0.342
