,index,behavior_0,behavior_1,objective,solution_0,solution_1,solution_2,solution_3,solution_4,solution_5,solution_6,solution_7,solution_8,solution_9,solution_10,solution_11,solution_12,solution_13,solution_14,solution_15
0,16,-1.0089410543441772,-1.9899039268493652,-251.58496685899303,7.78009095708532,5.329195725167223,11.837641615426122,-5.130942940668581,3.4188459771873925,7.867289652366444,-2.002567827657891,8.925443157719515,-9.792793549032227,-6.238860306528521,-3.067287196664047,1.2747846310796935,6.351073669218357,15.225485857586534,9.971149907637034,2.03685827154169
1,47,-0.9693945050239563,-0.14796999096870422,138.57187464560394,-0.19187666377612023,-7.468552983361208,-0.24153470042225278,-18.933862897822124,11.642163280286614,2.2708588832692977,0.4472393156893398,-6.345464603889996,-7.697377268101869,-9.031280444831143,-2.6873265182027835,-2.489621833842393,28.9992556142607,3.275897109213836,15.859098953799919,-8.069449271031807
2,17,-0.9920533299446106,-1.9388402700424194,-236.69984749119035,7.110532818574692,4.121884586459243,11.896631208514542,-6.493969025984607,5.062187088293288,7.235216935338971,-6.140198448886819,0.6184871957446916,-11.758037946747862,-12.266914734213897,-7.7820214570114,4.834915362940288,9.37901481974914,11.549864853143024,8.597434769277559,3.0951112025505587
3,2477,0.9681733846664429,-1.36482834815979,-184.84659826699348,-5.109817895369568,-0.2496143016707475,9.017845881642574,-0.11087816706561848,-6.320184440728457,-28.981082325789114,-1.9254392011423551,2.137824928390262,-14.036396926320245,6.3313298131074545,-10.275485394974961,-13.316178449034744,0.5790228563566302,9.948048678248872,18.479255664590333,-43.36505242455504
4,1422,0.12569589912891388,-1.6701273918151855,-83.2854823028897,3.1910582937966163,-12.232328525362947,27.94882159989271,17.458133749462274,28.507974292683823,24.18324548067021,-12.607274405552348,-5.037456394942659,-11.860681389728205,-31.10442936992278,5.697341277479207,-9.420439430409846,49.27891617749154,38.26001803547957,31.527238107326767,11.071608400703358
5,1907,0.5528947710990906,-2.528851270675659,-144.4984916012733,-17.922810656385884,3.3486425955161416,2.2157271655650828,2.1527917327201624,-16.94717761372481,-11.205562483698836,-2.964153965856726,-9.025156035283151,-11.800319511380952,0.9034486354433312,-0.749507776320316,-2.292300489494528,1.062123211608718,15.27161887494653,16.173273727973903,-17.33576676434804
6,421,-0.6631642580032349,-1.7206974029541016,-108.14596770137106,5.573566064847782,0.2006513636503955,10.911314045104353,-5.855493719243894,-0.5264202081324949,5.06145527293231,6.480958912236394,0.6933261339019507,-13.27008901438096,-16.476570383894174,-0.6962267253569079,0.7947267114819576,8.24531011993709,9.323940150678636,5.874021387200513,0.9560318421365142
7,772,-0.36067643761634827,-1.6428353786468506,-115.01740783668599,-0.2563895332331687,-10.441760373867613,25.210277384581847,10.825481623870052,31.412725110087933,25.977797900168618,-15.772849930015244,-10.74033303173779,-13.278501664841597,-26.430463293018562,5.615295089240927,-11.524217050336816,39.88169085540182,40.02227790792638,38.9291219711719,23.13541041484783
8,1759,0.40433722734451294,-2.433772563934326,-210.7941361080557,-3.6577286274044107,-4.182658532650952,21.55357623271453,5.556212304918061,-0.15911310861417094,17.947223678081563,10.273889970119146,-6.547221820719114,-0.26502063188430647,-1.0179257393903234,-0.9852788306954887,-0.46701836470321134,42.380380486664336,47.446423421776664,13.488828488074075,9.863868762562266
9,871,-0.2943640649318695,-1.6952016353607178,-5.736890418893907,4.248071478995688,0.8053969603403012,10.986216924049868,-8.576190003416325,-2.617798919333139,7.356213915535426,-9.309772612035724,1.5083844688047567,-11.520458745196766,-13.733161504272083,-8.40932405405379,4.8274800277847785,11.908709495173682,7.438265325644182,10.370230053629172,5.90322289339425
